address,bathrooms,country,detailedType,distance,district,exterior,externalReference,floor,has360,has3DTour,hasLift,hasPlan,hasVideo,latitude,longitude,municipality,neighborhood,newDevelopment,numPhotos,operation,parkingSpace,price,priceByArea,propertyCode,propertyType,province,rooms,showAddress,size,status,suggestedTexts,thumbnail,url
"calle de San Restituto, 14",1,es,{'typology': 'flat'},5370,Moncloa,True,,3,False,False,True,False,False,40.4646941,-3.7107396,Madrid,Valdezarza,False,6,rent,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",450.0,11.0,39665037,flat,Madrid,1,True,42.0,good,"{'subtitle': 'Valdezarza, Madrid', 'title': 'Piso en calle de San Restituto, 14'}",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/e0/e1/14/618567745.jpg,https://www.idealista.com/inmueble/39665037/
saliente,4,es,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",12096,Urbanizaciones,False,,,False,False,,False,False,40.4330817,-3.8454306,Pozuelo de Alarcón,Montealina,False,41,rent,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",1900.0,5.0,82149948,chalet,Madrid,4,False,375.0,good,"{'subtitle': 'Montealina, Pozuelo de Alarcón', 'title': 'Casa independiente en saliente'}",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/5d/28/cd/592374865.jpg,https://www.idealista.com/inmueble/82149948/
calle Gran Vía,7,es,{'typology': 'flat'},360,Centro,True,SGG120982,2,False,False,True,False,False,40.4188578,-3.7010318,Madrid,Sol,False,17,rent,,10000.0,24.0,39496068,flat,Madrid,6,False,410.0,good,"{'subtitle': 'Sol, Madrid', 'title': 'Piso en calle Gran Vía'}",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/ca/5d/8e/263452146.jpg,https://www.idealista.com/inmueble/39496068/
"calle Mallorca, 3",1,es,{'typology': 'flat'},1192,Centro,True,,en,False,False,True,False,False,40.4071354,-3.697682,Madrid,Lavapiés-Embajadores,False,12,rent,,1200.0,17.0,37138962,flat,Madrid,3,True,70.0,good,"{'subtitle': 'Lavapiés-Embajadores, Madrid', 'title': 'Piso en calle Mallorca, 3'}",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/83/28/f9/215085503.jpg,https://www.idealista.com/inmueble/37138962/
"calle Valmojado, 181",3,es,{'typology': 'flat'},5422,Latina,True,,5,False,False,True,False,False,40.3899565,-3.7577512,Madrid,Aluche,False,7,rent,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",650.0,8.0,83311256,flat,Madrid,3,True,79.0,good,"{'subtitle': 'Aluche, Madrid', 'title': 'Piso en calle Valmojado, 181'}",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/bc/de/9f/618574517.jpg,https://www.idealista.com/inmueble/83311256/
"avenida donostiarra, 21",2,es,{'typology': 'flat'},4326,Ciudad Lineal,True,,11,False,False,True,False,False,40.4345648,-3.6587854,Madrid,Concepción,False,6,rent,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",550.0,8.0,31436202,flat,Madrid,2,True,65.0,good,"{'subtitle': 'Concepción, Madrid', 'title': 'Piso en avenida donostiarra, 21'}",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/f7/ca/bb/618572008.jpg,https://www.idealista.com/inmueble/31436202/
"calle de la Fuente del Berro, 37",1,es,{'typology': 'flat'},2919,Salamanca,False,,1,False,False,True,False,False,40.4236009,-3.6709046,Madrid,Goya,False,27,rent,,1400.0,28.0,35885404,flat,Madrid,2,True,50.0,good,"{'subtitle': 'Goya, Madrid', 'title': 'Piso en calle de la Fuente del Berro, 37'}",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/21/ab/84/188357293.jpg,https://www.idealista.com/inmueble/35885404/
"calle de José Ortega y Gasset, Madrid",1,es,{'typology': 'flat'},3034,Salamanca,False,,7,False,False,True,False,False,40.4309973,-3.673658,Madrid,Lista,False,5,rent,,1050.0,16.0,83243159,flat,Madrid,2,False,65.0,good,"{'subtitle': 'Lista, Madrid', 'title': 'Piso en calle de José Ortega y Gasset, Madrid'}",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/02/08/ac/614255907.jpg,https://www.idealista.com/inmueble/83243159/
"calle Reina, Madrid, 39",2,es,{'typology': 'flat'},650,Centro,True,MADRID,1,False,False,True,False,False,40.4197143,-3.6976117,Madrid,Chueca-Justicia,False,7,rent,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",500.0,6.0,83065105,flat,Madrid,2,True,90.0,good,"{'subtitle': 'Chueca-Justicia, Madrid', 'title': 'Piso en calle Reina, Madrid, 39'}",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/5c/bf/f9/618590698.jpg,https://www.idealista.com/inmueble/83065105/
barrio Castellana,6,es,"{'typology': 'flat', 'subTypology': 'duplex'}",2582,Salamanca,True,,4,False,False,True,False,False,40.431753,-3.680971,Madrid,Castellana,False,18,rent,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': False, 'parkingSpacePrice': 150.0}",7500.0,19.0,39489844,duplex,Madrid,7,False,400.0,good,"{'subtitle': 'Castellana, Madrid', 'title': 'Dúplex'}",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/0c/9f/05/260863489.jpg,https://www.idealista.com/inmueble/39489844/
"calle Hermanos Bécquer, Madrid",3,es,{'typology': 'flat'},2340,Salamanca,True,7/1074,1,False,False,True,False,False,40.433944,-3.6883836,Madrid,Castellana,False,36,rent,,2700.0,15.0,82730214,flat,Madrid,3,False,185.0,good,"{'subtitle': 'Castellana, Madrid', 'title': 'Piso en calle Hermanos Bécquer, Madrid'}",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/d9/c8/45/603878438.jpg,https://www.idealista.com/inmueble/82730214/
"calle Alcolea, 6",1,es,{'typology': 'flat'},6328,Tetuán,True,,1,False,False,False,False,False,40.4726149,-3.690494,Madrid,Ventilla-Almenara,False,15,rent,,800.0,18.0,81849696,flat,Madrid,1,True,45.0,good,"{'subtitle': 'Ventilla-Almenara, Madrid', 'title': 'Piso en calle Alcolea, 6'}",https://img3.idealista.com/blur/WEB_LISTING/90/id.pro.es.image.master/5a/df/05/616248716.jpg,https://www.idealista.com/inmueble/81849696/
duque de pastrana,3,es,{'typology': 'flat'},5965,Chamartín,True,,1,False,False,True,False,False,40.4667309,-3.6788611,Madrid,Castilla,False,7,rent,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",3200.0,12.0,82726394,flat,Madrid,4,False,260.0,good,"{'subtitle': 'Castilla, Madrid', 'title': 'Piso en duque de pastrana'}",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/a2/56/79/603508787.jpg,https://www.idealista.com/inmueble/82726394/
"calle Dos Hermanas, Madrid, 17",2,es,"{'typology': 'flat', 'subTypology': 'penthouse'}",724,Centro,True,28-852823,4,False,False,True,False,False,40.410276,-3.7058888,Madrid,Lavapiés-Embajadores,False,30,rent,,2000.0,15.0,82838135,penthouse,Madrid,5,True,137.0,good,"{'subtitle': 'Lavapiés-Embajadores, Madrid', 'title': 'Ático en calle Dos Hermanas, Madrid, 17'}",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/d8/2d/5b/606098543.jpg,https://www.idealista.com/inmueble/82838135/
"calle de Alcalá, Madrid, 90",1,es,"{'typology': 'flat', 'subTypology': 'penthouse'}",2291,Salamanca,False,,6,False,False,True,False,False,40.4233164,-3.6785468,Madrid,Goya,False,13,rent,,1200.0,17.0,83098740,penthouse,Madrid,1,True,70.0,good,"{'subtitle': 'Goya, Madrid', 'title': 'Ático en calle de Alcalá, Madrid, 90'}",https://img3.idealista.com/blur/WEB_LISTING/90/id.pro.es.image.master/8f/2f/27/611538796.jpg,https://www.idealista.com/inmueble/83098740/
"calle Rosa Menéndez, Madrid, 26",1,es,{'typology': 'flat'},4925,Tetuán,True,Rosa Menéndez,1,False,False,True,False,False,40.4608846,-3.7073534,Madrid,Berruguete,False,6,rent,,780.0,20.0,83020845,flat,Madrid,1,True,40.0,good,"{'subtitle': 'Berruguete, Madrid', 'title': 'Piso en calle Rosa Menéndez, Madrid, 26'}",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/c2/36/67/611834418.jpg,https://www.idealista.com/inmueble/83020845/
"calle del Prado, 29",1,es,{'typology': 'flat'},592,Centro,True,,3,False,False,True,False,False,40.4153679,-3.6973695,Madrid,Huertas-Cortes,False,17,rent,,1200.0,24.0,83282273,flat,Madrid,1,True,50.0,good,"{'subtitle': 'Huertas-Cortes, Madrid', 'title': 'Piso en calle del Prado, 29'}",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/6a/fa/2a/614943206.jpg,https://www.idealista.com/inmueble/83282273/
"calle Velázquez, Madrid, 102",3,es,"{'typology': 'flat', 'subTypology': 'penthouse'}",2659,Salamanca,True,938001,8,True,False,True,True,False,40.4344488,-3.6831675,Madrid,Castellana,False,25,rent,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",6500.0,29.0,82018135,penthouse,Madrid,3,True,227.0,good,"{'subtitle': 'Castellana, Madrid', 'title': 'Ático en calle Velázquez, Madrid, 102'}",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/2f/53/54/612505458.jpg,https://www.idealista.com/inmueble/82018135/
calle de Claudio Coello,4,es,"{'typology': 'flat', 'subTypology': 'penthouse'}",1935,Salamanca,True,994,5,False,False,True,False,False,40.4274814,-3.6862596,Madrid,Castellana,False,56,rent,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",3950.0,16.0,81345556,penthouse,Madrid,4,False,240.0,good,"{'subtitle': 'Castellana, Madrid', 'title': 'Ático en calle de Claudio Coello'}",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/04/4d/e6/593203125.jpg,https://www.idealista.com/inmueble/81345556/
barrio Castilla,4,es,{'typology': 'flat'},6483,Chamartín,True,A16700,1,False,False,True,False,False,40.4713023,-3.6774186,Madrid,Castilla,False,43,rent,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",3700.0,19.0,83423794,flat,Madrid,4,False,200.0,good,"{'subtitle': 'Castilla, Madrid', 'title': 'Piso'}",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/83/21/9d/618514376.jpg,https://www.idealista.com/inmueble/83423794/
barrio Recoletos,2,es,"{'typology': 'flat', 'subTypology': 'penthouse'}",2051,Salamanca,True,150037,7,False,False,True,True,False,40.4237558,-3.6817995,Madrid,Recoletos,False,24,rent,,3300.0,14.0,40397490,penthouse,Madrid,3,False,230.0,good,"{'subtitle': 'Recoletos, Madrid', 'title': 'Ático'}",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/a4/50/7d/279509808.jpg,https://www.idealista.com/inmueble/40397490/
calle de Don Ramón de la Cruz,3,es,"{'typology': 'flat', 'subTypology': 'penthouse'}",2036,Salamanca,True,RE-DRC,5,False,False,True,False,False,40.4289221,-3.6863016,Madrid,Castellana,False,21,rent,,4500.0,14.0,81606119,penthouse,Madrid,4,False,320.0,good,"{'subtitle': 'Castellana, Madrid', 'title': 'Ático en calle de Don Ramón de la Cruz'}",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/dc/8e/21/580493454.jpg,https://www.idealista.com/inmueble/81606119/
cronos,1,es,"{'typology': 'flat', 'subTypology': 'duplex'}",7554,San Blas,True,Cronos Duplex,4,False,False,True,False,False,40.4396137,-3.6201516,Madrid,Simancas,False,13,rent,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",900.0,13.0,82617639,duplex,Madrid,1,False,70.0,good,"{'subtitle': 'Simancas, Madrid', 'title': 'Dúplex en cronos'}",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/6b/86/48/615135408.jpg,https://www.idealista.com/inmueble/82617639/
"calle de la Ballesta, Madrid",1,es,{'typology': 'flat'},679,Centro,False,Richard Telf: 689370919.,bj,False,False,False,False,False,40.4225412,-3.7020117,Madrid,Malasaña-Universidad,False,17,rent,,900.0,30.0,83294073,flat,Madrid,2,False,30.0,good,"{'subtitle': 'Malasaña-Universidad, Madrid', 'title': 'Piso en calle de la Ballesta, Madrid'}",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/15/d6/f8/615157612.jpg,https://www.idealista.com/inmueble/83294073/
Encinar de los Reyes,4,es,"{'typology': 'flat', 'subTypology': 'penthouse'}",11926,Encinar de los Reyes,True,MOA01231,3,False,False,True,False,False,40.5049226,-3.6240665,La Moraleja,,False,18,rent,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",4500.0,14.0,82389787,penthouse,Madrid,4,False,330.0,good,"{'subtitle': 'Encinar de los Reyes, La Moraleja', 'title': 'Ático'}",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/18/48/fd/597175243.jpg,https://www.idealista.com/inmueble/82389787/
Encinar de los Reyes,4,es,{'typology': 'flat'},11617,Encinar de los Reyes,False,W-02DV76,,False,False,True,False,False,40.5085559,-3.6388313,La Moraleja,,False,48,rent,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",4500.0,20.0,82539469,flat,Madrid,4,False,220.0,,"{'subtitle': 'Encinar de los Reyes, La Moraleja', 'title': 'Piso'}",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/ab/34/36/599805844.jpg,https://www.idealista.com/inmueble/82539469/
calle de Santa Cruz de Marcenado,1,es,{'typology': 'flat'},1687,Centro,True,STC,3,False,False,True,False,False,40.4311329,-3.710155,Madrid,Malasaña-Universidad,False,17,rent,,1350.0,12.0,82388158,flat,Madrid,2,False,110.0,good,"{'subtitle': 'Malasaña-Universidad, Madrid', 'title': 'Piso en calle de Santa Cruz de Marcenado'}",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/8d/c9/6e/597144333.jpg,https://www.idealista.com/inmueble/82388158/
Encinar de los Reyes,2,es,{'typology': 'flat'},11721,Encinar de los Reyes,True,A1024,3,False,False,True,False,False,40.5034226,-3.6254665,La Moraleja,,False,18,rent,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",4500.0,13.0,82258911,flat,Madrid,3,False,350.0,good,"{'subtitle': 'Encinar de los Reyes, La Moraleja', 'title': 'Piso'}",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/2e/2d/40/594435674.jpg,https://www.idealista.com/inmueble/82258911/
calle de la Flora,1,es,{'typology': 'flat'},515,Centro,True,JSC-A-3382,1,False,False,True,False,False,40.4198985,-3.7085094,Madrid,Sol,False,30,rent,,2500.0,15.0,83431110,flat,Madrid,1,False,170.0,,"{'subtitle': 'Sol, Madrid', 'title': 'Piso en calle de la Flora'}",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/0f/d9/9b/617881567.jpg,https://www.idealista.com/inmueble/83431110/
"calle de José Ortega y Gasset, Madrid",2,es,{'typology': 'flat'},3043,Salamanca,True,W-02DY9Y,3,False,False,True,True,False,40.4281039,-3.6715093,Madrid,Lista,False,29,rent,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",2900.0,19.0,82739615,flat,Madrid,2,False,154.0,good,"{'subtitle': 'Lista, Madrid', 'title': 'Piso en calle de José Ortega y Gasset, Madrid'}",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/7f/a8/ae/603774954.jpg,https://www.idealista.com/inmueble/82739615/
