address,bathrooms,country,detailedType_typology,detailedType_subTypology,distance,district,exterior,externalReference,floor,has360,has3DTour,hasLift,hasPlan,hasVideo,latitude,longitude,municipality,neighborhood,newDevelopment,numPhotos,operation,hasParkingSpace,parkingSpaceIncluded,parkingSpacePrice,price,priceByArea,propertyCode,propertyType,province,rooms,showAddress,size,status,suggestedTexts_subtitle,suggestedTexts_title,thumbnail,url,geopoint
"calle de San Restituto, 14",1,es,flat,,5370,Moncloa,True,,3,False,False,True,False,False,40.4646941,-3.7107396,Madrid,Valdezarza,False,6,rent,True,True,,450.0,11.0,3.9665037E7,flat,Madrid,1,True,42.0,good,"Valdezarza, Madrid","Piso en calle de San Restituto, 14",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/e0/e1/14/618567745.jpg,https://www.idealista.com/inmueble/39665037/,POINT(-3.7107396 40.4646941)
saliente,4,es,chalet,independantHouse,12096,Urbanizaciones,False,,0,False,False,False,False,False,40.4330817,-3.8454306,Pozuelo de Alarcón,Montealina,False,41,rent,True,True,,1900.0,5.0,8.2149948E7,chalet,Madrid,4,False,375.0,good,"Montealina, Pozuelo de Alarcón",Casa independiente en saliente,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/5d/28/cd/592374865.jpg,https://www.idealista.com/inmueble/82149948/,POINT(-3.8454306 40.4330817)
"calle Mallorca, 3",1,es,flat,,1192,Centro,True,,0,False,False,True,False,False,40.4071354,-3.697682,Madrid,Lavapiés-Embajadores,False,12,rent,,,,1200.0,17.0,3.7138962E7,flat,Madrid,3,True,70.0,good,"Lavapiés-Embajadores, Madrid","Piso en calle Mallorca, 3",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/83/28/f9/215085503.jpg,https://www.idealista.com/inmueble/37138962/,POINT(-3.697682 40.4071354)
"calle Valmojado, 181",3,es,flat,,5422,Latina,True,,5,False,False,True,False,False,40.3899565,-3.7577512,Madrid,Aluche,False,7,rent,True,True,,650.0,8.0,8.3311256E7,flat,Madrid,3,True,79.0,good,"Aluche, Madrid","Piso en calle Valmojado, 181",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/bc/de/9f/618574517.jpg,https://www.idealista.com/inmueble/83311256/,POINT(-3.7577512 40.3899565)
"avenida donostiarra, 21",2,es,flat,,4326,Ciudad Lineal,True,,11,False,False,True,False,False,40.4345648,-3.6587854,Madrid,Concepción,False,6,rent,True,True,,550.0,8.0,3.1436202E7,flat,Madrid,2,True,65.0,good,"Concepción, Madrid","Piso en avenida donostiarra, 21",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/f7/ca/bb/618572008.jpg,https://www.idealista.com/inmueble/31436202/,POINT(-3.6587854 40.4345648)
"calle de la Fuente del Berro, 37",1,es,flat,,2919,Salamanca,False,,1,False,False,True,False,False,40.4236009,-3.6709046,Madrid,Goya,False,27,rent,,,,1400.0,28.0,3.5885404E7,flat,Madrid,2,True,50.0,good,"Goya, Madrid","Piso en calle de la Fuente del Berro, 37",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/21/ab/84/188357293.jpg,https://www.idealista.com/inmueble/35885404/,POINT(-3.6709046 40.4236009)
"calle de José Ortega y Gasset, Madrid",1,es,flat,,3034,Salamanca,False,,7,False,False,True,False,False,40.4309973,-3.673658,Madrid,Lista,False,5,rent,,,,1050.0,16.0,8.3243159E7,flat,Madrid,2,False,65.0,good,"Lista, Madrid","Piso en calle de José Ortega y Gasset, Madrid",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/02/08/ac/614255907.jpg,https://www.idealista.com/inmueble/83243159/,POINT(-3.673658 40.4309973)
"calle Reina, Madrid, 39",2,es,flat,,650,Centro,True,MADRID,1,False,False,True,False,False,40.4197143,-3.6976117,Madrid,Chueca-Justicia,False,7,rent,True,True,,500.0,6.0,8.3065105E7,flat,Madrid,2,True,90.0,good,"Chueca-Justicia, Madrid","Piso en calle Reina, Madrid, 39",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/5c/bf/f9/618590698.jpg,https://www.idealista.com/inmueble/83065105/,POINT(-3.6976117 40.4197143)
"calle Hermanos Bécquer, Madrid",3,es,flat,,2340,Salamanca,True,7/1074,1,False,False,True,False,False,40.433944,-3.6883836,Madrid,Castellana,False,36,rent,,,,2700.0,15.0,8.2730214E7,flat,Madrid,3,False,185.0,good,"Castellana, Madrid","Piso en calle Hermanos Bécquer, Madrid",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/d9/c8/45/603878438.jpg,https://www.idealista.com/inmueble/82730214/,POINT(-3.6883836 40.433944)
"calle Alcolea, 6",1,es,flat,,6328,Tetuán,True,,1,False,False,False,False,False,40.4726149,-3.690494,Madrid,Ventilla-Almenara,False,15,rent,,,,800.0,18.0,8.1849696E7,flat,Madrid,1,True,45.0,good,"Ventilla-Almenara, Madrid","Piso en calle Alcolea, 6",https://img3.idealista.com/blur/WEB_LISTING/90/id.pro.es.image.master/5a/df/05/616248716.jpg,https://www.idealista.com/inmueble/81849696/,POINT(-3.690494 40.4726149)
